"id","type","level","text","solution","reasoning","source","subject"
"P0038","mmlu_miscellaneous","Advanced","A passage Jane Eyre is as follows. This was all the account I got from Mrs. Fairfax of her employer and mine. There are people who seem to have no notion of sketching a character, or observing and describing salient points, either in persons or things: the good lady evidently belonged to this class; my queries puzzled, but did not draw her out. Mr. Rochester was Mr. Rochester in her eyes, a gentleman, a landed proprietor‚Äìnothing more: she inquired and searched no further, and evidently wondered at my wish to gain a more definite notion of his identity. Mrs. Fairfax differs from the speaker in that Mrs. Fairfax

Options:
A. has more interest in the complexities of people's personalities
B. judges people by their social station in life
C. is more willing to take people at face value
D. has a more positive opinion of Mr. Rochester","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0039","mmlu_miscellaneous","Advanced","When cool air flows from a high mountain region to a region of lower elevation, the air will

Options:
A. increase in moisture content
B. condense, forming large amounts of dew
C. undergo adiabatic warming
D. undergo adiabatic cooling","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0040","mmlu_miscellaneous","Advanced","A student comes across the unfamiliar words ""intercontinental,"" ""interglacial,"" ""interface,"" and ""intercept"" in his reading. The student can use his knowledge of affixes to understand that all of the words share which meaning?

Options:
A. between; among
B. not; opposite of
C. earth; environment
D. under; too little","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0041","mmlu_miscellaneous","Advanced","Which of these organs comes in A pair?

Options:
A. liver
B. kidney
C. stomach
D. gallbladder","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0042","mmlu_miscellaneous","Advanced","Which two planets are most similar in size diameter wise?

Options:
A. Mars and Mercury
B. Venus and Earth
C. Uranus and Neptune
D. Jupiter and Saturn","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0043","mmlu_miscellaneous","Advanced","A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. Zora Neale Hurston is associated with which of the following literary movements?

Options:
A. New England Puritanism
B. Transcendentalism
C. Naturalism
D. Harlem Renaissance","D","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0044","mmlu_miscellaneous","Advanced","What is the name of the mountain where the mythological Greek gods live?

Options:
A. Jupiter
B. Olympus
C. Vesuvius
D. Valhalla","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0045","mmlu_miscellaneous","Advanced","How long is a single term in the US Senate?

Options:
A. two years
B. four years
C. six years
D. eight years","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0046","mmlu_miscellaneous","Advanced","Which of these animals is a rodent?

Options:
A. Bat
B. Wolverine
C. Beaver
D. Koala","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0047","mmlu_miscellaneous","Advanced","What term is used to describe a""group of geese?

Options:
A. gaggle
B. gang
C. gander
D. grist","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0048","mmlu_miscellaneous","Advanced","During what war did Francis Scott Key write the words to 'The Star-Spangled Banner'?

Options:
A. American Revolution
B. War of 1812
C. Civil War
D. World War I","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0049","mmlu_miscellaneous","Advanced","A well on the side of a hill penetrates the water table at an elevation of 550 feet above sea level. If someone plans to drill on the top of the hill, where would the water table most likely be found?

Options:
A. The water table would be found at sea level.
B. The water table would be found at an elevation lower than 550 feet above sea level but above sea level.
C. The water table would be found at an elevation higher than 550 feet above sea level but many feet below the land surface.
D. The water table would intersect with the land surface at the top of the hill, forming a spring.","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0050","mmlu_miscellaneous","Advanced","Amps are a unit of measurement of what?

Options:
A. electric charge
B. electric current
C. electric field strength
D. electric potential","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0051","mmlu_miscellaneous","Advanced","By what name is Bob Keeshan better known?

Options:
A. Bozo the Clown
B. Pee Wee Herman
C. Captain Kangaroo
D. Buffalo Bob","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0052","mmlu_miscellaneous","Advanced","Which of these organizations is not part of the US government?

Options:
A. NAACP
B. NASA
C. CIA
D. FBI","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0053","mmlu_miscellaneous","Advanced","What is a Dutch oven?

Options:
A. a toaster oven
B. a microwave
C. a kettle pot
D. a sauna","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0054","mmlu_miscellaneous","Advanced","A second-grade teacher has each student select a card at random that is marked with a three-digit number. Students then model their numbers with base ten blocks on a place value mat. Which of the following whole number concepts does the lesson best reinforce?

Options:
A. Comparing quantities
B. Describing quantities
C. Ordering quantities
D. Decomposing quantities","D","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0055","mmlu_miscellaneous","Advanced","In construction, the plates are horizontal structures at the top and bottom of a wall. Which of the following are the vertical structures?

Options:
A. Rafters
B. Studs
C. Headers
D. Joists","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0056","mmlu_miscellaneous","Advanced","Which of these evangelists is a cousin of rocker Jerry Lee Lewis?

Options:
A. Billy Graham
B. Oral Roberts
C. Jerry Falwell
D. Jimmy Swaggart","D","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0057","mmlu_miscellaneous","Advanced","Where did the Exxon Valdez run aground in March of 1989?

Options:
A. Monterey Bay
B. Prince William Sound
C. Cape Cod
D. Gulf of Mexico","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0058","mmlu_miscellaneous","Advanced","According to the Bible Moses and Aaron had a sister named what?

Options:
A. Jochebed
B. Ruth
C. Leah
D. Miriam","D","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0059","mmlu_miscellaneous","Advanced","Every day was a happy day, and every night was peaceful. The sentence above can best be classified as

Options:
A. simple
B. compound
C. complex
D. compound-complex","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0060","mmlu_miscellaneous","Advanced","How many states were in the Confederate States of America?

Options:
A. 11
B. 13
C. 16
D. 22","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0061","mmlu_miscellaneous","Advanced","A preschool teacher is teaching students to forward roll. Which of the following is a problem most characteristic of preschoolers' forward rolling?

Options:
A. Keeping the chin tucked
B. Keeping the knees and hips flexed
C. Losing the curl
D. Using the hands to cushion the head contact","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0062","mmlu_miscellaneous","Advanced","What kind of animal is cartoon character Tennessee Tuxedo?

Options:
A. cat
B. skunk
C. walrus
D. penguin","D","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0063","mmlu_miscellaneous","Advanced","How many eyes does a Giraffe have?

Options:
A. one
B. two
C. three
D. four","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0064","mmlu_miscellaneous","Advanced","How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?

Options:
A. 1 mol
B. 2 mol
C. 3 mol
D. 6 mol","D","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0065","mmlu_miscellaneous","Advanced","What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?

Options:
A. Calvin Coolidge
B. Harry Truman
C. Herbert Hoover
D. Richard Nixon","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0066","mmlu_miscellaneous","Advanced","Which of these rocks will float In water?

Options:
A. granite
B. limestone
C. shale
D. pumice","D","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0067","mmlu_miscellaneous","Advanced","What term is used to describe a group of fish?

Options:
A. Knot
B. Drape
C. School
D. Gaggle","C","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0068","mmlu_miscellaneous","Advanced","What was the acronym for the first computer, made back in 1946?

Options:
A. ENIAC
B. CASD
C. CNAC
D. CSREN","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0069","mmlu_miscellaneous","Advanced","What is the name of the disease that has been referred to as the ""disease of kings""?

Options:
A. hemophilia
B. jaundice
C. rubella
D. syphilis","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0070","mmlu_miscellaneous","Advanced","If the government places a price ceiling on leather garments that is below the equilibrium price, which of the following will occur in the market for leather garments?

Options:
A. There will be a shortage.
B. There will be a surplus.
C. The demand curve for leather garments will shift leftward.
D. The supply curve for leather garments will shift rightward.","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0071","mmlu_miscellaneous","Advanced","Who wrote musicals with Oscar Hammerstein II?

Options:
A. Richard Rodgers
B. Rogers Hornsby
C. Gilbert O' Sullivan
D. George Rogers Clark","A","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0072","mmlu_miscellaneous","Advanced","Which of these is not a type of primate?

Options:
A. baboon
B. marmot
C. orangutan
D. chimpanzee","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0073","mmlu_miscellaneous","Advanced","Phoebe Dione and Helene are moons of what planet?

Options:
A. Jupiter
B. Saturn
C. Neptune
D. Pluto","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0074","mmlu_miscellaneous","Advanced","When Corporation X pays out $300,000 in salaries, which of the following is the impact on assets and liabilities?

Options:
A. Salary expense is increased by $300,000; cash is increased by $300,000
B. Salary expense is increased by $300,000; cash is decreased by $300,000
C. Salary expense is decreased by $300,000; cash is increased by $300,000
D. Salary expense is decreased by $300,000; cash is decreased by $300,000","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0075","mmlu_miscellaneous","Advanced","The common term for someone who has difficulty seeing objects in the distance is what?

Options:
A. farsighted
B. nearsighted
C. hindsighted
D. hypermetropic","B","Advanced-level knowledge required in miscellaneous.","MMLU","miscellaneous"
"P0076","mmlu_nutrition","Advanced","On an average daily basis, the gross energy intake of a healthy woman is 9279 kJ, the energy content of her faeces and urine are 647 kJ and 318 kJ, respectively. Her average daily digestible energy intake and metabolisable energy intake would be, respectively,:


Options:
A. 647 kJ and 318 kJ
B. 9279-318 kJ and 9279-647 kJ
C. 9279+318 kJ and 9279+647 kJ
D. 9279-647 kJ and 9279-(647+318) kJ","D","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0077","mmlu_nutrition","Advanced","Was T.R. Malthus correct in concluding that population growth will outstrip food production growth?


Options:
A. No, technological and institutional innovations have permitted food supplies to more than keep pace with population growth.
B. Yes, it is only because of widespread famines that population has not overwhelmed food supplies altogether.
C. No, but it is only because of the introduction of genetically modified food that supplies have kept pace with population growth.
D. No, but supplies are not likely to keep pace with population growth over the next 10 years.","A","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0078","mmlu_nutrition","Advanced","Colonic microbiome:


Options:
A. Is present in babies in utero
B. Is a cause of eosinopjhilic oesophagitis
C. Is easily changed by probiotic supplementation
D. May be changed with consumption of oligo-saccharides","D","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0079","mmlu_nutrition","Advanced","What is the typical body composition of a normal weight young adult man?


Options:
A. Fat = 17%, Fat Free Mass=83%, Intracellular Fluid= 40%, Extracellular Fluid= 20%
B. Fat = 83%, Fat Free Mass=40%, Intracellular Fluid= 17%, Extracellular Fluid= 20%
C. Fat = 20%, Fat Free Mass=17%, Intracellular Fluid= 40%, Extracellular Fluid= 83%
D. Fat = 40%, Fat Free Mass=20%, Intracellular Fluid= 17%, Extracellular Fluid= 83%","A","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0080","mmlu_nutrition","Advanced","Infants and children with a suspected food allergy e.g. cow's milk allergy/intolerance could display the following symptoms and signs:


Options:
A. severe atopic dermatitis
B. enterocolitis
C. diarrhoea
D. all of the above","D","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0081","mmlu_nutrition","Advanced","Which of the following statements about human amino acid requirements in human nutrition is correct?


Options:
A. The amino acid requirements determined for adults is assumed to be the requirement pattern for all ages.
B. The amino acid requirements determined for adults is assumed to be the requirements for maintenance for all ages.
C. The amino acid pattern of breast milk is assumed to be the requirement pattern for all children.
D. The amino acid pattern of human tissue protein is assumed to be the requirement patterns for infants and young children.","B","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0082","mmlu_nutrition","Advanced","Nutrients may pose health risks:


Options:
A. When intakes exceed established ULs (Upper Levels)
B. At any level greater than a recommended dietary intake
C. Only when intakes are less than those required for nutritional benefits
D. Under no known conditions of usual intake","A","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0083","mmlu_nutrition","Advanced","Alcohol is a major risk factor for cancer development. Which alcohol metabolite plays a prominent role in cancer development?


Options:
A. fatty acid ethyl esters (FAEE)
B. acetate
C. acetaldehyde
D. alcohol","C","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0084","mmlu_nutrition","Advanced","Which of the following methods is recommended to screen for malnutrition on admission to hospital?


Options:
A. A 7-day food diary
B. The MUST tool
C. Serum albumin concentration
D. Demi-span","B","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0085","mmlu_nutrition","Advanced","It has been observed that a reduction in family size and improved sanitary condition have led to an increase in allergic conditions. The 'hygiene hypothesis' suggests that


Options:
A. The frequent use of antiseptic swipes will reduce allergies
B. Living on a working farm will help reducing the development of atopic diseases
C. Particular care must be taken during breast feeding in high risk infants
D. Living on a working farm will increase the development of atopic diseases","B","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0086","mmlu_nutrition","Advanced","Which of the following contributes to vitamin B12 deficiency in older adults?


Options:
A. Reduced secretion of intrinsic factor
B. Atrophic gastritis
C. Helicobacter pylori infection
D. All of the above","D","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0087","mmlu_nutrition","Advanced","In which form is selenium found in the 25 human selenoproteins?


Options:
A. Selenophosphate
B. Selenocysteine
C. Selenohistidine
D. Selenate","B","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0088","mmlu_nutrition","Advanced","Which of the following statements is incorrect regarding fatty acid ß-oxidation?


Options:
A. The major site of fatty acid ß-oxidation is the peroxisomes, the mitochondria also contain enzymes for this pathway
B. Within the liver peroxisomes serve to oxidise very long chain fatty acids to medium chain products
C. The rate of b-oxidation is regulated by the availability of fatty acids and the rate of utilisation of b-oxidation products
D. Peroxisomes are the site for the degradation of xenobiotics and eicosanoids","A","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0089","mmlu_nutrition","Advanced","Doses of substances used in animal toxicity studies are usually many times greater than those experienced by people because:


Options:
A. Animals are generally much less sensitive than people
B. Such tests can detect only very large risks because of the fact that only small numbers of animals can be used
C. It is difficult in such studies to determine whether the observed toxic effects were caused by the substance
D. It is the only way to ensure results are applicable to people","B","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0090","mmlu_nutrition","Advanced","Which of the following is the yield of ATP from complete oxidation of glucose to carbon dioxide and water?


Options:
A. 10
B. 25
C. 30
D. 32","D","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0091","mmlu_nutrition","Advanced","Intestinal lactase deficiency leads to lactose maldigestion which subsequently can lead to lactose intolerance, i.e. causing clinical symptoms. Infants and children normally express sufficient lactase levels as not to experience clinical symptoms. Overall, adults can be classified as lactase-persisters or lactase non-persisters. What is the approximate percentage of Lactase non-persisters worldwide?


Options:
A. 45%-50%
B. 70%-75 %
C. 10%-15%
D. 30%-35%","B","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0092","mmlu_nutrition","Advanced","Which of the following statements about protein structure is correct?


Options:
A. The sequence of amino acids in a protein is its tertiary structure
B. Cross-links formed by oxidation of -SH groups of cysteine to form disulphide bridges render the amino acid unavailable to digestion.
C. Cross-links between the &epsiv;-amino group of lysine and the carboxyl group of glutamate render the amino acid(s) unavailable for digestion.
D. All proteins have the same secondary structure","C","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0093","mmlu_nutrition","Advanced","The most direct method for measuring body composition is:


Options:
A. underwater weighing
B. Skinfold test
C. Body mass index
D. weight","A","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0094","mmlu_nutrition","Advanced","What is the phenotype of a congenital disorder impairing the secretion of leptin?


Options:
A. Normal energy intake, normal body weight and hyperthyroidism
B. Obesity, excess energy intake, normal growth and hypoinsulinaemia
C. Obesity, abnormal growth, hypothyroidism, hyperinsulinaemia
D. Underweight, abnormal growth, hypothyroidism, hyperinsulinaemia","C","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0095","mmlu_nutrition","Advanced","Which of the following statements is correct regarding intracellular fat metabolism?


Options:
A. The mechanism by which non-esterified fatty acids are taken up by cells is by diffusion only.
B. The mechanism by which non-esterified fatty acids are taken up by cells is by a combination of diffusion and carrier-mediated transport involving fatty acid binding, translocase and transport proteins.
C. The mechanism by which non-esterified fatty acids are taken up by cells is by a combination of diffusion and carrier-mediated transport involving fatty acid esterification, synthesis and transport proteins.
D. The mechanism by which non-esterified fatty acids are taken up by cells is by carrier-mediated transport only involving fatty acid binding, translocase and transport proteins.","B","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0096","mmlu_nutrition","Advanced","Infants born to mothers who are vegan may be at increased risk of deficiency of which nutrient?


Options:
A. Vitamin C
B. Folate
C. Vitamin B12
D. Calcium","C","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0097","mmlu_nutrition","Advanced","What is the primary method of dietary assessment used in epidemiological studies?


Options:
A. Weighed diary
B. Unweighed diary
C. 24-hour recall
D. Food frequency questionnaire","D","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0098","mmlu_nutrition","Advanced","Which of these factors reduces the risk for cancer of the colorectum?


Options:
A. Vitamin C
B. Dietary fibre
C. Alcohol
D. Oestrogen","B","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0099","mmlu_nutrition","Advanced","Which vitamin is required for synthesis of the blood clotting proteins?


Options:
A. Vitamin A
B. Vitamin D
C. Vitamin E
D. Vitamin K","D","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
"P0100","mmlu_nutrition","Advanced","Which of the following statements is correct?


Options:
A. Cholesterol mainly occurs in the cell walls of bacterial cells
B. Cholesterol mainly occurs in the cell walls of mammalian cells
C. Cholesterol mainly occurs in the cell walls of yeast cells
D. Cholesterol mainly occurs in plant cell walls.","B","Advanced-level knowledge required in nutrition.","MMLU","nutrition"
